,video_path,time,species,image_id
0,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,209,Carcharhinus albimarginatus,0
1,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,210,Carcharhinus albimarginatus,1
2,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,211,Carcharhinus albimarginatus,2
3,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,212,Carcharhinus albimarginatus,3
4,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,213,Carcharhinus albimarginatus,4
5,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,214,Carcharhinus albimarginatus,5
6,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,215,Carcharhinus albimarginatus,6
7,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,216,Carcharhinus albimarginatus,7
8,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,217,Carcharhinus albimarginatus,8
9,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,218,Carcharhinus albimarginatus,9
10,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,219,Carcharhinus albimarginatus,10
11,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,220,Carcharhinus albimarginatus,11
12,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,221,Carcharhinus albimarginatus,12
13,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,222,Carcharhinus albimarginatus,13
14,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,223,Carcharhinus albimarginatus,14
15,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F2_L2023-04-18/100GOPRO/GH030007.MP4,224,Carcharhinus albimarginatus,15
16,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F3L_2023-04-18/100GOPRO/GH010008.MP4,92,Carcharhinus falciformis,16
17,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F3L_2023-04-18/100GOPRO/GH010008.MP4,93,Carcharhinus falciformis,17
18,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F3L_2023-04-18/100GOPRO/GH010008.MP4,94,Carcharhinus falciformis,18
19,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F3L_2023-04-18/100GOPRO/GH010008.MP4,95,Carcharhinus falciformis,19
20,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F3L_2023-04-18/100GOPRO/GH010008.MP4,67,Carcharhinus albimarginatus,20
21,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F3L_2023-04-18/100GOPRO/GH010008.MP4,68,Carcharhinus albimarginatus,21
22,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F3L_2023-04-18/100GOPRO/GH010008.MP4,69,Carcharhinus albimarginatus,22
23,/Volumes/Expansion/Expedicion Revillagigedo/18-04-23_San Benedicto/Boiler/SB_S004_F3L_2023-04-18/100GOPRO/GH010008.MP4,70,Carcharhinus albimarginatus,23
